DATE,PRTCPIALLMINMEI
1980-12-01,9.91705928258477
1981-01-01,10.2146208205168
1981-02-01,10.3549424822172
1981-03-01,10.4833218748367
1981-04-01,10.7510277400666
1981-05-01,10.8077535182008
1981-06-01,10.8823926999563
1981-07-01,11.1690071578975
1981-08-01,11.4605975612891
1981-09-01,11.6357508411421
1981-10-01,11.8318030918866
1981-11-01,11.9701343754069
1981-12-01,12.2657055351588
1982-01-01,12.5085316731368
1982-02-01,12.8518719092122
1982-03-01,13.1683420398557
1982-04-01,13.4091777996535
1982-05-01,13.4201248796443
1982-06-01,13.5524850286241
1982-07-01,13.5385523813631
1982-08-01,13.7684410611701
1982-09-01,13.9445895301132
1982-10-01,14.0281854136794
1982-11-01,14.1436273481279
1982-12-01,14.5058761769148
1983-01-01,15.0751243364369
1983-02-01,15.3826377652697
1983-03-01,15.7409058376963
1983-04-01,16.0782749392313
1983-05-01,16.0494144556191
1983-06-01,16.3240866444795
1983-07-01,16.6614557460145
1983-08-01,17.1749733164925
1983-09-01,17.7402407196544
1983-10-01,18.058701228478
1983-11-01,18.463743188138
1983-12-01,19.1762985766308
1984-01-01,19.5823357253809
1984-02-01,19.8908443433037
1984-03-01,20.6193227572377
1984-04-01,21.0094368805466
1984-05-01,20.8273172770631
1984-06-01,21.46025753835
1984-07-01,22.0205489960615
1984-08-01,22.4136486866407
1984-09-01,22.4813215447657
1984-10-01,22.6694122827896
1984-11-01,23.0276803552162
1984-12-01,23.2396556314019
1985-01-01,24.3114742814113
1985-02-01,24.9503856772386
1985-03-01,25.3345286660071
1985-04-01,25.6141768003178
1985-05-01,25.6947871166138
1985-06-01,25.7326043020366
1985-07-01,25.8181905637829
1985-08-01,26.0182235708877
1985-09-01,26.0480792435899
1985-10-01,26.305833217919
1985-11-01,26.7138607448493
1985-12-01,27.1517439444817
1986-01-01,27.8642993329745
1986-02-01,28.2265481617614
1986-03-01,28.5519749942155
1986-04-01,28.9191997684527
1986-05-01,28.788829997653
1986-06-01,28.8803873939398
1986-07-01,28.8783970157596
1986-08-01,29.1480932591696
1986-09-01,29.2685111390686
1986-10-01,29.4546114989123
1986-11-01,29.7044039605208
1986-12-01,30.1980177491974
1987-01-01,30.6528191633611
1987-02-01,31.0071064794274
1987-03-01,31.4250858972583
1987-04-01,31.5833209625801
1987-05-01,31.6171573916426
1987-06-01,31.5325663189863
1987-07-01,31.6300948498135
1987-08-01,31.9684591404386
1987-09-01,32.0570309694552
1987-10-01,32.4152990418817
1987-11-01,32.5347217326906
1987-12-01,32.9775808777734
1988-01-01,33.4502956955584
1988-02-01,33.9130586224427
1988-03-01,34.1409569240696
1988-04-01,34.268341127599
1988-05-01,34.3837830620476
1988-06-01,34.5639122873509
1988-07-01,34.8475411780219
1988-08-01,35.3043329703658
1988-09-01,35.6655866100625
1988-10-01,35.982056740706
1988-11-01,36.4886079875535
1988-12-01,36.9205200526455
1989-01-01,37.5773448520942
1989-02-01,38.0809105316715
1989-03-01,38.4063373641256
1989-04-01,38.7984418656146
1989-05-01,38.8671099128297
1989-06-01,39.127849454429
1989-07-01,39.4930838504861
1989-08-01,40.1439375153943
1989-09-01,40.2305189662307
1989-10-01,40.4305519733356
1989-11-01,40.8087238275636
1989-12-01,41.2376503253854
1990-01-01,42.2278634700087
1990-02-01,43.1693123492185
1990-03-01,43.4220903780972
1990-04-01,43.9226704904043
1990-05-01,44.3884189845588
1990-06-01,44.5187887553585
1990-07-01,44.8342636969118
1990-08-01,45.3666898601013
1990-09-01,45.848361379697
1990-10-01,46.3469511138239
1990-11-01,46.6484934081163
1990-12-01,47.008751858723
1991-01-01,48.0308110542287
1991-02-01,48.8488564862693
1991-03-01,49.1205431078594
1991-04-01,49.4608977766646
1991-05-01,49.8211562272713
1991-06-01,50.1515590051758
1991-07-01,50.3794573068027
1991-08-01,50.7108552737972
1991-09-01,50.8083838046245
1991-10-01,51.0920126952955
1991-11-01,51.341805156904
1991-12-01,51.6513089639169
1992-01-01,52.5499647122535
1992-02-01,53.1620060026488
1992-03-01,53.6705476276765
1992-04-01,54.4856074924469
1992-05-01,54.959317499322
1992-06-01,55.175273531868
1992-07-01,55.4111333462155
1992-08-01,55.6589354296439
1992-09-01,55.6678921314545
1992-10-01,55.8599636258388
1992-11-01,56.0450687965925
1992-12-01,56.2630152073186
1993-01-01,57.0711087484585
1993-02-01,57.49704967901
1993-03-01,57.7279335479072
1993-04-01,58.0543555694514
1993-05-01,58.3260421910415
1993-06-01,58.4593975291113
1993-07-01,58.8027377651868
1993-08-01,59.0306360668137
1993-09-01,59.1988230230361
1993-10-01,59.5152931536796
1993-11-01,59.885503495187
1993-12-01,60.0387626150584
1994-01-01,60.7722169744427
1994-02-01,61.1066005087075
1994-03-01,61.2459269813178
1994-04-01,61.5922527846635
1994-05-01,61.7305840681837
1994-06-01,61.8171655190201
1994-07-01,61.9216603734779
1994-08-01,62.0361071188364
1994-09-01,62.0928328969706
1994-10-01,62.3326734676783
1994-11-01,62.4540865366673
1994-12-01,62.6441676528714
1995-01-01,63.5398378339378
1995-02-01,63.9020866627246
1995-03-01,64.1996482006567
1995-04-01,64.4763107676972
1995-05-01,64.4265513131935
1995-06-01,64.2892152187633
1995-07-01,64.3101141896548
1995-08-01,64.5768248657946
1995-09-01,64.6644015057211
1995-10-01,64.8863286728075
1995-11-01,64.9321073709509
1995-12-01,64.865429701916
1996-01-01,65.1679671852984
1996-02-01,65.5511149849768
1996-03-01,65.782994042964
1996-04-01,66.3114394497931
1996-05-01,66.5612319114016
1996-06-01,66.5303810496094
1996-07-01,66.6289047695266
1996-08-01,66.8239618311811
1996-09-01,66.8169955075506
1996-10-01,66.7801735112178
1996-11-01,66.903576958387
1996-12-01,66.9354230092694
1997-01-01,67.3414601580194
1997-02-01,67.4559069033779
1997-03-01,67.5444787323945
1997-04-01,67.6529543432125
1997-05-01,68.063967437413
1997-06-01,67.8848334011997
1997-07-01,67.9037419939111
1997-08-01,68.2291688263652
1997-09-01,68.186375695492
1997-10-01,68.1495536991593
1997-11-01,68.4202451316594
1997-12-01,68.5814657642513
1998-01-01,68.6740183496282
1998-02-01,68.6431674878359
1998-03-01,68.8282726585896
1998-04-01,69.319896069086
1998-05-01,69.751808134178
1998-06-01,69.8413751522847
